Число цилиндров/клапанов,6/4
Рабочий объем, куб. См,2,979
Ход поршня/диаметр цилиндра, мм,89.6/84.0
Макс. мощность, кВт (л. с.) при об/мин,240 (326)/5,800
Макс. крутящий момент, Нм при об/мин",450/1,300-4,500
Степень сжатия: 1,10.2
